Cod Empresa;Cod Item;Descricao;Qtde;C Cst Ctbil;F Cst For;Cst Cbil For;Pven Ic;Pven For;M1;M2;M3;M4;M5;M6;Curva;Ultima Compra;Ultima Venda;Pedido;Curva Portal;Locacao;Nome Fornecedor;Possui Pis;Possui Cofins;Status;Forn;Aplicacao
9;AC-A503;CAIXA DE SOM BLUETOOTH A503 120W FAM;1;142,03;142,03;142,03;490,00;490,00;0;0;0;0;0;0;C;27/07/2026;;NF 5899 ADTO;C;1SALA A4;Outros;Sim;Sim;Ativo;2;
9;AC-A601M1;CAIXA DE SOM BLUETOOTH A601M1 600W FAM;5;273,64;273,64;273,64;;799,00;0;0;0;0;0;0;C;27/07/2026;;NF 5899 ADTO;C;VITRINE;Outros;Sim;Sim;Ativo;2;
9;AC-A601M1;CAIXA DE SOM BLUETOOTH A601M1 600W FAM;5;273,64;273,64;273,64;;799,00;0;0;0;0;0;0;C;27/07/2026;;NF 5899 ADTO;C;1SALA A2;Outros;Sim;Sim;Ativo;2;
9;AC-BERMUDA;BERMUDA CHEVROLET PREMIUM;2;86,09;86,09;86,09;;199,90;0;0;0;0;0;0;D;29/08/2025;09/01/2026;BOTIQUEESTQ;D;VITRINE;Outros;Sim;Sim;Ativo;2;
9;AC-BOLSA VIAGEM G;BOLSA DE VIAGEM;3;87,16;87,16;95,78;;159,90;0;2;1;0;0;0;B;14/01/2026;22/06/2026;PEDACESSORIOS;B;VITRINE;Outros;Sim;Sim;Ativo;2;
9;AC-BOLSA VIAGEM P;BOLSA VIAGEM PEQUENA;3;70,72;70,72;70,72;;149,00;0;0;0;0;2;0;D;14/01/2026;26/03/2026;PEDACESSORIOS;D;VITRINE;Outros;Sim;Sim;Ativo;2;"
"
9;AC-BONE;BONES CHEVROLET DIVERSOS;102;33,96;19,09;32,06;99,90;99,90;18;25;68;7;6;16;A;08/06/2026;31/07/2026;BONES CHEVROLET;A;VITRINE;Outros;Sim;Sim;Ativo;2;
9;AC-CAMISETA;CAMISETA CHEVROLET DIVERSAS;4;71,67;75,87;72,11;129,99;129,99;2;4;2;0;2;2;A;03/02/2026;31/07/2026;BOTIQUE;A;VITRINE;Outros;Sim;Sim;Ativo;2;CAMISETA CHEVROLET DIVERSAS CORES E TAMANHO
9;AC-CANECACHOP;CANECA CHOPP EM MADEIRA;8;43,05;40,52;43,05;199,00;199,00;1;2;9;3;1;5;A;14/01/2026;11/07/2026;PEDACESSORIOS;A;VITRINE;Acessorios;Sim;Sim;Ativo;16;
9;AC-CHAVEIRO1;CHAVEIRO CHEVROLET PREMIUM;3;12,29;11,47;12,22;;39,90;0;0;4;6;8;4;A;14/01/2026;03/07/2026;PEDACESSORIOS;A;VITRINE;Outros;Sim;Sim;Ativo;2;
9;AC-COPO;COPO PERSONALIZADO CHEVROLET;29;41,90;19,08;29,50;129,90;129,90;8;3;8;7;12;4;A;14/11/2025;31/07/2026;4TAKES;A;VITRINE;Outros;Sim;Sim;Ativo;2;Copo Personalizado c/ canudo Chevrolet
9;AC-FUSIVELM20;FUSIVEL MINI 20 AMPERES;2;1,81;15,00;1,81;;15,00;0;0;0;0;0;0;D;29/11/2023;23/12/2025;;D;145AD1;Outros;Sim;Sim;Ativo;2;
9;AC-GARRAFABIG;GARRAFA CHEVROLET PREMIUM BIG;26;48,98;40,42;49,86;149,90;249,90;14;39;47;16;57;25;A;12/06/2026;31/07/2026;NF 36522;A;VITRINE;Outros;Sim;Sim;Ativo;2;
9;AC-GP348;CENTRAL MULTIMÍDIA EVOLVE;18;209,29;314,99;209,29;480,00;480,00;0;0;0;0;0;0;D;19/08/2025;14/01/2026;SA DISTR MARCOS;D;1SALA I1;Outros;Sim;Sim;Ativo;2;"
Central Multimídia Evolve Gp348 Dvd"
9;AC-MOLETON;MOLETON CHEVROLET;1;126,60;126,60;253,14;229,00;421,90;0;0;1;0;0;0;D;03/02/2026;11/05/2026;BOTIQUE;D;VITRINE;Outros;Sim;Sim;Ativo;2;
